lat1,lat2,lon1,lon2,delay,num,auc,tpr,fpr,index
41.9037,41.906,-87.632,-87.63,8,95,0.814777,0.647059,0.354839,D_1034
41.9037,41.906,-87.63,-87.628,8,100,0.854008,0.72973,0.21875,D_1035
41.906,41.9082,-87.766,-87.764,4,90,0.887087,0.8125,0.130435,D_1036
41.906,41.9082,-87.764,-87.762,4,100,0.864067,0.826087,0.156863,D_1037
41.906,41.9082,-87.756,-87.754,18,100,0.845965,0.772727,0.177419,D_1038
41.906,41.9082,-87.734,-87.732,6,85,0.833055,0.777778,0.182927,D_1039
41.7485,41.7507,-87.674,-87.672,8,80,0.904826,0.8,0.0769231,D_104
41.906,41.9082,-87.728,-87.726,10,90,0.847501,0.714286,0.236111,D_1040
41.906,41.9082,-87.712,-87.71,18,80,0.830383,0.72,0.2,D_1041
41.906,41.9082,-87.696,-87.694,12,90,0.936082,0.857143,0.0581395,D_1042
41.906,41.9082,-87.694,-87.692,16,95,0.850952,0.733333,0.203125,D_1043
41.906,41.9082,-87.676,-87.674,8,85,0.931428,0.916667,0.105263,D_1044
41.906,41.9082,-87.672,-87.67,6,85,0.921832,0.863636,0.101695,D_1045
41.906,41.9082,-87.668,-87.666,14,100,0.873508,0.894737,0.192982,D_1046
41.906,41.9082,-87.64,-87.638,16,80,0.857638,0.636364,0.235294,D_1047
41.9082,41.9105,-87.776,-87.774,14,100,0.817154,0.736842,0.327869,D_1048
41.9082,41.9105,-87.774,-87.772,18,100,0.847787,0.772727,0.181818,D_1049
41.7485,41.7507,-87.67,-87.668,14,80,0.807313,0.666667,0.235294,D_105
41.9082,41.9105,-87.772,-87.77,12,90,0.931935,0.904762,0.114754,D_1050
41.9082,41.9105,-87.766,-87.764,12,100,0.839334,0.771429,0.193548,D_1051
41.9082,41.9105,-87.764,-87.762,10,80,0.800403,0.470588,0.234375,D_1052
41.9082,41.9105,-87.762,-87.76,8,100,0.782418,0.571429,0.307692,D_1053
41.9082,41.9105,-87.76,-87.758,20,90,0.834668,0.655172,0.25,D_1054
41.9082,41.9105,-87.758,-87.756,4,95,0.868135,0.681818,0.220339,D_1055
41.9082,41.9105,-87.756,-87.754,18,95,0.865964,0.833333,0.177778,D_1056
41.9082,41.9105,-87.754,-87.752,10,95,0.858662,0.703704,0.217391,D_1057
41.9082,41.9105,-87.752,-87.75,20,80,0.791973,0.6,0.245283,D_1058
41.9082,41.9105,-87.748,-87.746,14,80,0.88277,0.884615,0.145833,D_1059
41.7485,41.7507,-87.668,-87.666,6,80,0.832166,0.789474,0.171429,D_106
41.9082,41.9105,-87.746,-87.744,6,90,0.869255,0.666667,0.236842,D_1060
41.9082,41.9105,-87.744,-87.742,20,100,0.905568,0.829787,0.15,D_1061
41.9082,41.9105,-87.732,-87.73,6,90,0.821841,0.684211,0.237288,D_1062
41.9082,41.9105,-87.728,-87.726,18,80,0.822969,0.68,0.235294,D_1063
41.9082,41.9105,-87.726,-87.724,16,100,0.807462,0.529412,0.30303,D_1064
41.9082,41.9105,-87.724,-87.722,20,100,0.871806,0.85,0.118644,D_1065
41.9082,41.9105,-87.708,-87.706,4,80,0.864501,0.793103,0.159091,D_1066
41.9082,41.9105,-87.696,-87.694,20,85,0.871355,0.8,0.171875,D_1067
41.9082,41.9105,-87.694,-87.692,18,90,0.758129,0.413793,0.304348,D_1068
41.9082,41.9105,-87.692,-87.69,4,100,0.813878,0.714286,0.309524,D_1069
41.7485,41.7507,-87.666,-87.664,20,85,0.852468,0.785714,0.186047,D_107
41.9082,41.9105,-87.69,-87.688,4,95,0.777415,0.529412,0.276923,D_1070
41.9082,41.9105,-87.68,-87.678,20,80,0.732662,0.333333,0.38806,D_1071
41.9082,41.9105,-87.678,-87.676,12,85,0.96387,0.884615,0.0588235,D_1072
41.9082,41.9105,-87.676,-87.674,10,80,0.816445,0.75,0.233333,D_1073
41.9082,41.9105,-87.654,-87.652,8,95,0.899429,0.851852,0.102564,D_1074
41.9082,41.9105,-87.652,-87.65,18,85,0.894101,0.818182,0.0958904,D_1075
41.9082,41.9105,-87.64,-87.638,12,100,0.830724,0.769231,0.196078,D_1076
41.9105,41.9127,-87.748,-87.746,16,80,0.833559,0.6875,0.275362,D_1077
41.9105,41.9127,-87.746,-87.744,10,90,0.797508,0.7,0.294872,D_1078
41.9105,41.9127,-87.728,-87.726,12,80,0.859108,0.733333,0.238806,D_1079
41.7485,41.7507,-87.664,-87.662,8,85,0.8093,0.7,0.25641,D_108
41.9105,41.9127,-87.712,-87.71,8,85,0.8864,0.869565,0.125,D_1080
41.9105,41.9127,-87.68,-87.678,8,95,0.810422,0.583333,0.263889,D_1081
41.9105,41.9127,-87.678,-87.676,20,100,0.825452,0.666667,0.28125,D_1082
41.9105,41.9127,-87.672,-87.67,6,85,0.924031,0.866667,0.109589,D_1083
41.9105,41.9127,-87.668,-87.666,6,100,0.839787,0.727273,0.27027,D_1084
41.9105,41.9127,-87.654,-87.652,4,100,0.809552,0.625,0.314286,D_1085
41.9105,41.9127,-87.652,-87.65,18,95,0.899595,0.826087,0.132075,D_1086
41.9105,41.9127,-87.65,-87.648,4,100,0.86227,0.818182,0.145455,D_1087
41.9105,41.9127,-87.636,-87.634,14,95,0.845778,0.727273,0.225,D_1088
41.915,41.9172,-87.748,-87.746,12,90,0.845984,0.692308,0.25,D_1089
41.7485,41.7507,-87.662,-87.66,12,95,0.761419,0.461538,0.319444,D_109
41.915,41.9172,-87.728,-87.726,14,80,0.862767,0.8125,0.19403,D_1090
41.915,41.9172,-87.722,-87.72,4,90,0.850235,0.75,0.301205,D_1091
41.915,41.9172,-87.688,-87.686,10,95,0.807685,0.588235,0.322034,D_1092
41.9172,41.9195,-87.766,-87.764,18,100,0.829261,0.703704,0.208333,D_1093
41.9172,41.9195,-87.728,-87.726,4,95,0.816189,0.764706,0.19697,D_1094
41.9172,41.9195,-87.718,-87.716,4,85,0.858776,0.72,0.22,D_1095
41.9172,41.9195,-87.716,-87.714,8,80,0.711893,0.357143,0.372093,D_1096
41.9172,41.9195,-87.714,-87.712,16,100,0.936173,1,0.123596,D_1097
41.9172,41.9195,-87.698,-87.696,18,80,0.822709,0.615385,0.424658,D_1098
41.9172,41.9195,-87.692,-87.69,10,80,0.831582,0.736842,0.237288,D_1099
41.6787,41.681,-87.628,-87.626,16,80,0.869095,0.722222,0.2,D_11
41.7485,41.7507,-87.66,-87.658,4,95,0.881773,0.7,0.254237,D_110
41.9172,41.9195,-87.69,-87.688,6,95,0.889056,0.764706,0.179104,D_1100
41.9172,41.9195,-87.65,-87.648,20,80,0.851358,0.782609,0.192982,D_1101
41.9172,41.9195,-87.648,-87.646,18,80,0.861535,0.733333,0.232877,D_1102
41.9217,41.924,-87.788,-87.786,14,100,0.877228,0.857143,0.145455,D_1103
41.9217,41.924,-87.768,-87.766,10,90,0.847732,0.8,0.139241,D_1104
41.9217,41.924,-87.698,-87.696,16,90,0.895,0.8,0.196721,D_1105
41.9217,41.924,-87.646,-87.644,8,95,0.688376,0.428571,0.481481,D_1106
41.924,41.9262,-87.758,-87.756,6,85,0.861395,0.777778,0.151515,D_1107
41.924,41.9262,-87.748,-87.746,10,95,0.832453,0.636364,0.263158,D_1108
41.924,41.9262,-87.674,-87.672,16,100,0.758343,0.357143,0.38806,D_1109
41.7485,41.7507,-87.658,-87.656,10,85,0.83357,0.7,0.295082,D_111
41.924,41.9262,-87.654,-87.652,8,95,0.840342,0.758621,0.190476,D_1110
41.924,41.9262,-87.65,-87.648,4,95,0.749189,0.555556,0.318182,D_1111
41.924,41.9262,-87.64,-87.638,12,90,0.824094,0.65,0.271186,D_1112
41.9262,41.9285,-87.786,-87.784,4,100,0.832902,0.8,0.15493,D_1113
41.9262,41.9285,-87.736,-87.734,16,100,0.86402,0.791667,0.153846,D_1114
41.9262,41.9285,-87.706,-87.704,4,100,0.747346,0.5625,0.347826,D_1115
41.9285,41.9307,-87.708,-87.706,4,85,0.894675,0.733333,0.25,D_1116
41.9285,41.9307,-87.686,-87.684,8,90,0.858309,0.72,0.22449,D_1117
41.9307,41.933,-87.79,-87.788,12,80,0.829605,0.64,0.25,D_1118
41.9307,41.933,-87.748,-87.746,18,100,0.852812,0.727273,0.206897,D_1119
41.7485,41.7507,-87.652,-87.65,12,80,0.798086,0.625,0.308824,D_112
41.9307,41.933,-87.744,-87.742,20,85,0.883383,0.916667,0.125,D_1120
41.9307,41.933,-87.714,-87.712,12,80,0.822637,0.65,0.265625,D_1121
41.9307,41.933,-87.712,-87.71,20,85,0.851972,0.619048,0.245614,D_1122
41.9307,41.933,-87.682,-87.68,20,95,1,1,0,D_1123
41.9307,41.933,-87.68,-87.678,4,95,0.844381,0.7,0.378049,D_1124
41.9307,41.933,-87.646,-87.644,6,100,0.866203,0.761905,0.160714,D_1125
41.9307,41.933,-87.642,-87.64,4,80,0.910133,0.821429,0.172414,D_1126
41.933,41.9352,-87.646,-87.644,6,85,0.792195,0.551724,0.26087,D_1127
41.9352,41.9375,-87.784,-87.782,14,100,0.867378,0.75,0.283784,D_1128
41.9352,41.9375,-87.65,-87.648,20,85,0.826323,0.653846,0.234043,D_1129
41.7485,41.7507,-87.646,-87.644,20,80,0.84475,0.65625,0.243902,D_113
41.9375,41.9397,-87.748,-87.746,10,100,0.897358,0.866667,0.142857,D_1130
41.9375,41.9397,-87.724,-87.722,6,95,0.871528,0.6875,0.230769,D_1131
41.9375,41.9397,-87.712,-87.71,10,90,0.914409,0.9375,0.126761,D_1132
41.9375,41.9397,-87.65,-87.648,4,100,0.834369,0.761905,0.183333,D_1133
41.9375,41.9397,-87.646,-87.644,4,80,0.869693,0.863636,0.134615,D_1134
41.9397,41.942,-87.756,-87.754,18,85,0.889751,0.888889,0.17284,D_1135
41.9397,41.942,-87.728,-87.726,16,100,0.866553,0.8125,0.178082,D_1136
41.9397,41.942,-87.656,-87.654,18,95,0.87868,0.815789,0.147059,D_1137
41.9397,41.942,-87.654,-87.652,6,100,0.950816,0.904762,0,D_1138
41.9397,41.942,-87.652,-87.65,14,95,0.830809,0.676471,0.314286,D_1139
41.7485,41.7507,-87.636,-87.634,20,80,0.843965,0.6875,0.230769,D_114
41.9397,41.942,-87.65,-87.648,4,100,0.831648,0.724138,0.22449,D_1140
41.9397,41.942,-87.646,-87.644,16,100,0.827347,0.740741,0.3125,D_1141
41.942,41.9442,-87.69,-87.688,6,95,0.861587,0.772727,0.163636,D_1142
41.942,41.9442,-87.65,-87.648,14,85,0.904476,0.862745,0.12,D_1143
41.9442,41.9465,-87.656,-87.654,18,100,0.97797,0.963636,0.04,D_1144
41.9442,41.9465,-87.65,-87.648,14,85,0.863021,0.851852,0.130435,D_1145
41.9442,41.9465,-87.648,-87.646,6,85,0.913999,0.869565,0.107143,D_1146
41.9465,41.9487,-87.738,-87.736,16,90,0.941106,1,0.103896,D_1147
41.9465,41.9487,-87.658,-87.656,8,85,0.877748,0.783784,0.181818,D_1148
41.9465,41.9487,-87.656,-87.654,20,100,0.795503,0.5,0.392157,D_1149
41.7485,41.7507,-87.614,-87.612,12,85,0.862093,0.73913,0.22449,D_115
41.9465,41.9487,-87.654,-87.652,16,95,0.828449,0.653846,0.259259,D_1150
41.9465,41.9487,-87.65,-87.648,4,80,0.851695,0.774194,0.166667,D_1151
41.9487,41.951,-87.65,-87.648,18,95,0.823153,0.692308,0.22449,D_1152
41.951,41.9532,-87.788,-87.786,6,80,0.807926,0.666667,0.285714,D_1153
41.951,41.9532,-87.65,-87.648,8,95,0.773896,0.5,0.394737,D_1154
41.9532,41.9555,-87.75,-87.748,4,95,0.838228,0.666667,0.237288,D_1155
41.9532,41.9555,-87.748,-87.746,18,95,0.912187,0.92,0.142857,D_1156
41.9532,41.9555,-87.67,-87.668,4,85,0.872375,0.933333,0.15493,D_1157
41.9532,41.9555,-87.656,-87.654,6,85,0.872342,0.814815,0.176471,D_1158
41.96,41.9622,-87.714,-87.712,20,90,0.726913,0.368421,0.37931,D_1159
41.7485,41.7507,-87.612,-87.61,20,100,0.847468,0.727273,0.211538,D_116
41.96,41.9622,-87.656,-87.654,18,85,0.85491,0.771429,0.194444,D_1160
41.9622,41.9645,-87.662,-87.66,10,95,0.817645,0.684211,0.263158,D_1161
41.9622,41.9645,-87.656,-87.654,8,80,0.86366,0.710526,0.222222,D_1162
41.9622,41.9645,-87.654,-87.652,6,90,0.998531,1,0.0138889,D_1163
41.9645,41.9667,-87.716,-87.714,16,80,0.97104,0.818182,0.104478,D_1164
41.9645,41.9667,-87.664,-87.662,8,85,0.743581,0.5,0.493333,D_1165
41.9645,41.9667,-87.66,-87.658,18,95,0.856785,0.8,0.142857,D_1166
41.9645,41.9667,-87.658,-87.656,6,90,0.86305,0.8,0.157895,D_1167
41.9645,41.9667,-87.656,-87.654,4,80,0.833993,0.722222,0.241379,D_1168
41.9645,41.9667,-87.654,-87.652,4,100,0.952407,0.964286,0.0545455,D_1169
41.7485,41.7507,-87.608,-87.606,18,80,0.842136,0.590909,0.241379,D_117
41.9645,41.9667,-87.652,-87.65,12,90,1.00826,1,0,D_1170
41.9667,41.969,-87.72,-87.718,18,100,0.856652,0.545455,0.293333,D_1171
41.9667,41.969,-87.714,-87.712,8,80,0.816389,0.705882,0.213115,D_1172
41.9667,41.969,-87.69,-87.688,20,80,0.839743,0.647059,0.262295,D_1173
41.9667,41.969,-87.66,-87.658,10,85,0.885605,0.761905,0.163636,D_1174
41.9667,41.969,-87.656,-87.654,4,80,0.847724,0.625,0.303571,D_1175
41.969,41.9712,-87.764,-87.762,4,90,0.893959,0.857143,0.147059,D_1176
41.969,41.9712,-87.66,-87.658,6,80,0.884634,0.8,0.186441,D_1177
41.969,41.9712,-87.658,-87.656,4,85,0.868077,0.75,0.265306,D_1178
41.969,41.9712,-87.656,-87.654,4,95,0.869818,0.793103,0.166667,D_1179
41.7485,41.7507,-87.606,-87.604,12,80,0.79655,0.682927,0.40625,D_118
41.9712,41.9735,-87.66,-87.658,10,100,0.809729,0.454545,0.246753,D_1180
41.9712,41.9735,-87.658,-87.656,20,90,0.905166,0.909091,0.131148,D_1181
41.9712,41.9735,-87.656,-87.654,8,95,0.831505,0.642857,0.376812,D_1182
41.9735,41.9757,-87.68,-87.678,16,80,0.939807,1,0.130435,D_1183
41.9735,41.9757,-87.658,-87.656,14,80,0.85692,0.73913,0.2,D_1184
41.9735,41.9757,-87.656,-87.654,10,85,0.844032,0.722222,0.206897,D_1185
41.9757,41.978,-87.694,-87.692,4,90,1,1,0,D_1186
41.9757,41.978,-87.656,-87.654,4,95,0.867968,0.833333,0.166667,D_1187
41.978,41.9802,-87.66,-87.658,10,80,0.899082,0.857143,0.133333,D_1188
41.9802,41.9825,-87.658,-87.656,16,95,0.816467,0.625,0.266667,D_1189
41.7485,41.7507,-87.604,-87.602,6,95,0.863955,0.738095,0.208333,D_119
41.9825,41.9847,-87.662,-87.66,4,80,0.721703,0.3125,0.426471,D_1190
41.9825,41.9847,-87.66,-87.658,4,85,0.836552,0.7,0.217949,D_1191
41.9825,41.9847,-87.658,-87.656,4,100,0.827529,0.6,0.264151,D_1192
41.9847,41.987,-87.658,-87.656,18,90,0.832364,0.764706,0.184615,D_1193
41.9847,41.987,-87.656,-87.654,6,95,0.789577,0.526316,0.258065,D_1194
41.987,41.9892,-87.666,-87.664,14,85,0.883117,0.857143,0.188406,D_1195
41.9892,41.9915,-87.662,-87.66,8,80,0.810624,0.666667,0.285714,D_1196
41.9892,41.9915,-87.66,-87.658,4,90,0.812604,0.6,0.283582,D_1197
41.9892,41.9915,-87.658,-87.656,4,80,0.78625,0.473684,0.296875,D_1198
41.9937,41.996,-87.69,-87.688,4,100,0.760123,0.411765,0.333333,D_1199
41.681,41.6832,-87.622,-87.62,8,85,0.788469,0.631579,0.344828,D_12
41.7485,41.7507,-87.602,-87.6,6,85,0.997836,0.985294,0,D_120
41.996,41.9982,-87.7,-87.698,6,100,0.843296,0.833333,0.190476,D_1200
41.996,41.9982,-87.692,-87.69,6,90,1,1,0,D_1201
41.996,41.9982,-87.69,-87.688,4,95,0.865971,0.791667,0.169492,D_1202
41.9982,42.0005,-87.682,-87.68,12,80,0.888239,0.894737,0.0701754,D_1203
41.9982,42.0005,-87.672,-87.67,8,90,0.864175,0.8,0.101449,D_1204
42.0005,42.0027,-87.672,-87.67,4,80,0.842827,0.625,0.230769,D_1205
42.0005,42.0027,-87.662,-87.66,8,95,0.825972,0.6,0.234375,D_1206
42.0027,42.005,-87.674,-87.672,4,85,0.866587,0.538462,0.225352,D_1207
42.0027,42.005,-87.662,-87.66,10,80,0.849693,0.866667,0.164384,D_1208
42.005,42.0072,-87.672,-87.67,18,90,0.863928,0.642857,0.220588,D_1209
41.7485,41.7507,-87.6,-87.598,20,80,0.852603,0.777778,0.174603,D_121
42.005,42.0072,-87.662,-87.66,18,80,0.893889,0.857143,0.164384,D_1210
42.0072,42.0095,-87.672,-87.67,8,100,0.867843,0.823529,0.151515,D_1211
42.0072,42.0095,-87.668,-87.666,4,95,0.833353,0.695652,0.222222,D_1212
42.0072,42.0095,-87.666,-87.664,20,80,0.792726,0.5,0.307692,D_1213
42.0072,42.0095,-87.662,-87.66,18,85,0.843091,0.647059,0.246154,D_1214
42.0095,42.0117,-87.676,-87.674,16,100,0.854125,0.705882,0.241935,D_1215
42.0095,42.0117,-87.666,-87.664,20,85,0.723678,0.454545,0.37037,D_1216
42.014,42.0162,-87.682,-87.68,6,80,0.900402,0.85,0.153846,D_1217
42.014,42.0162,-87.68,-87.678,18,80,0.995903,0.96,0.0192308,D_1218
42.0162,42.0185,-87.682,-87.68,6,80,0.776517,0.588235,0.344262,D_1219
41.7507,41.753,-87.666,-87.664,18,85,0.896085,0.740741,0.23913,D_122
42.0162,42.0185,-87.676,-87.674,6,90,0.845633,0.72,0.24,D_1220
42.0162,42.0185,-87.67,-87.668,8,80,0.820952,0.705882,0.272727,D_1221
42.0185,42.0207,-87.676,-87.674,8,100,0.881747,0.709677,0.2,D_1222
42.0185,42.0207,-87.674,-87.672,4,95,0.87562,0.767442,0.142857,D_1223
42.0185,42.0207,-87.672,-87.67,10,100,0.849175,0.714286,0.217391,D_1224
42.0185,42.0207,-87.67,-87.668,18,80,0.84532,0.75,0.244898,D_1225
42.0185,42.0207,-87.668,-87.666,20,100,0.841957,0.791667,0.196078,D_1226
42.0207,42.023,-87.674,-87.672,20,85,0.887493,0.806452,0.148936,D_1227
42.0207,42.023,-87.672,-87.67,16,80,0.840308,0.608696,0.2,D_1228
41.7507,41.753,-87.662,-87.66,20,95,0.837408,0.714286,0.224138,D_123
41.7507,41.753,-87.646,-87.644,20,80,0.858957,0.771429,0.188679,D_124
41.7507,41.753,-87.636,-87.634,8,100,0.85638,0.705882,0.230769,D_125
41.7507,41.753,-87.628,-87.626,20,100,0.781254,0.68,0.2,D_126
41.7507,41.753,-87.626,-87.624,18,80,0.775462,0.647059,0.4,D_127
41.7507,41.753,-87.608,-87.606,8,95,0.835943,0.675,0.272727,D_128
41.7507,41.753,-87.606,-87.604,4,80,0.929104,0.897959,0.0434783,D_129
41.6832,41.6855,-87.644,-87.642,6,95,0.818007,0.689655,0.363636,D_13
41.7507,41.753,-87.604,-87.602,4,80,0.848698,0.62963,0.212766,D_130
41.7507,41.753,-87.602,-87.6,18,80,0.88211,0.769231,0.166667,D_131
41.7507,41.753,-87.592,-87.59,6,85,0.842016,0.631579,0.253968,D_132
41.7507,41.753,-87.586,-87.584,8,100,0.904363,0.866667,0.0952381,D_133
41.7507,41.753,-87.584,-87.582,16,95,0.854506,0.766667,0.181818,D_134
41.7507,41.753,-87.582,-87.58,6,90,0.759309,0.636364,0.378378,D_135
41.7507,41.753,-87.58,-87.578,4,100,0.865019,0.821429,0.159091,D_136
41.7507,41.753,-87.578,-87.576,6,95,0.818284,0.619048,0.214286,D_137
41.7507,41.753,-87.576,-87.574,10,100,0.851455,0.764706,0.183099,D_138
41.7507,41.753,-87.57,-87.568,18,95,0.891064,0.833333,0.178082,D_139
41.6832,41.6855,-87.626,-87.624,4,85,0.875442,0.846154,0.175676,D_14
41.7507,41.753,-87.568,-87.566,8,100,0.800762,0.666667,0.362069,D_140
41.7507,41.753,-87.566,-87.564,18,95,0.915616,0.818182,0.166667,D_141
41.7507,41.753,-87.564,-87.562,18,90,0.85131,0.692308,0.21875,D_142
41.7507,41.753,-87.562,-87.56,6,80,0.872761,0.782609,0.166667,D_143
41.7507,41.753,-87.56,-87.558,10,95,0.841869,0.666667,0.297297,D_144
41.7507,41.753,-87.558,-87.556,14,100,0.831162,0.642857,0.352941,D_145
41.7507,41.753,-87.556,-87.554,10,85,0.776349,0.416667,0.390244,D_146
41.7507,41.753,-87.554,-87.552,20,100,0.869289,0.695652,0.204082,D_147
41.7507,41.753,-87.552,-87.55,4,80,0.85636,0.789474,0.178571,D_148
41.7507,41.753,-87.55,-87.548,6,85,0.868806,0.777778,0.147541,D_149
41.6855,41.6877,-87.644,-87.642,8,80,0.857294,0.727273,0.282051,D_15
41.753,41.7552,-87.742,-87.74,20,95,1,1,0,D_150
41.753,41.7552,-87.666,-87.664,12,100,0.959424,0.954545,0.05,D_151
41.753,41.7552,-87.654,-87.652,4,90,0.858486,0.75,0.309091,D_152
41.753,41.7552,-87.652,-87.65,6,100,0.809271,0.555556,0.305085,D_153
41.753,41.7552,-87.648,-87.646,8,95,0.914133,0.789474,0.123077,D_154
41.753,41.7552,-87.646,-87.644,4,80,0.810449,0.689655,0.210526,D_155
41.753,41.7552,-87.602,-87.6,12,80,0.876594,0.727273,0.31746,D_156
41.753,41.7552,-87.568,-87.566,16,80,0.882323,0.7,0.210526,D_157
41.753,41.7552,-87.566,-87.564,14,100,0.814838,0.761905,0.188679,D_158
41.753,41.7552,-87.564,-87.562,6,100,0.835536,0.714286,0.272727,D_159
41.6877,41.69,-87.638,-87.636,12,100,0.867734,0.823529,0.126984,D_16
41.753,41.7552,-87.56,-87.558,14,90,0.838192,0.708333,0.377358,D_160
41.753,41.7552,-87.558,-87.556,14,80,0.871675,0.76,0.176471,D_161
41.753,41.7552,-87.556,-87.554,14,85,0.946401,1,0.0952381,D_162
41.753,41.7552,-87.554,-87.552,16,95,0.868812,0.684211,0.210526,D_163
41.753,41.7552,-87.552,-87.55,4,100,0.894286,0.894737,0.153846,D_164
41.7552,41.7575,-87.658,-87.656,20,85,0.840188,0.733333,0.242424,D_165
41.7552,41.7575,-87.654,-87.652,16,85,0.809123,0.586207,0.232558,D_166
41.7552,41.7575,-87.652,-87.65,20,85,0.784696,0.6,0.472222,D_167
41.7552,41.7575,-87.648,-87.646,10,80,0.866148,0.666667,0.230769,D_168
41.7552,41.7575,-87.646,-87.644,8,95,0.934905,0.918919,0.0967742,D_169
41.6877,41.69,-87.628,-87.626,10,80,0.846686,0.684211,0.262295,D_17
41.7552,41.7575,-87.644,-87.642,16,100,0.847523,0.571429,0.217391,D_170
41.7552,41.7575,-87.642,-87.64,8,85,0.852276,0.625,0.257143,D_171
41.7552,41.7575,-87.636,-87.634,4,85,0.826035,0.666667,0.258065,D_172
41.7552,41.7575,-87.58,-87.578,6,80,0.845896,0.769231,0.157895,D_173
41.7552,41.7575,-87.566,-87.564,6,90,0.891454,0.833333,0.173077,D_174
41.7552,41.7575,-87.564,-87.562,10,90,0.976655,0.95122,0.0277778,D_175
41.7552,41.7575,-87.562,-87.56,18,80,0.826155,0.636364,0.232143,D_176
41.7552,41.7575,-87.556,-87.554,4,90,0.812449,0.625,0.269841,D_177
41.7552,41.7575,-87.554,-87.552,16,80,0.89674,0.863636,0.132075,D_178
41.7575,41.7597,-87.636,-87.634,4,90,0.851577,0.727273,0.22,D_179
41.6877,41.69,-87.624,-87.622,8,95,0.920391,0.8,0.0833333,D_18
41.7575,41.7597,-87.634,-87.632,4,95,0.848092,0.684211,0.222222,D_180
41.7575,41.7597,-87.626,-87.624,20,80,0.859475,0.8125,0.149254,D_181
41.7575,41.7597,-87.618,-87.616,6,85,0.835757,0.611111,0.292308,D_182
41.7575,41.7597,-87.616,-87.614,4,85,0.783254,0.666667,0.315789,D_183
41.7575,41.7597,-87.614,-87.612,4,95,0.758911,0.631579,0.508772,D_184
