lat1,lat2,lon1,lon2,delay,num,auc,tpr,fpr,index
41.654,41.6562,-87.606,-87.604,12,80,0.819359,0.56,0.255814,D_0
41.654,41.6562,-87.604,-87.602,6,80,0.789061,0.5625,0.301587,D_1
41.6765,41.6787,-87.622,-87.62,4,100,0.862852,0.782609,0.14,D_10
41.7462,41.7485,-87.604,-87.602,5,85,0.873438,0.769231,0.152174,D_100
41.9015,41.9037,-87.724,-87.722,20,100,0.851015,0.681818,0.2,D_1000
41.9015,41.9037,-87.722,-87.72,16,85,0.832537,0.633333,0.255814,D_1001
41.9015,41.9037,-87.72,-87.718,10,100,0.901783,0.846154,0.115385,D_1002
41.9015,41.9037,-87.718,-87.716,20,95,0.887761,0.84,0.125,D_1003
41.9015,41.9037,-87.712,-87.71,4,85,0.837784,0.653846,0.23913,D_1004
41.9015,41.9037,-87.698,-87.696,12,85,0.818755,0.705882,0.215385,D_1005
41.9015,41.9037,-87.696,-87.694,14,85,0.881783,0.6875,0.246377,D_1006
41.9015,41.9037,-87.694,-87.692,12,90,0.875178,0.777778,0.190476,D_1007
41.9015,41.9037,-87.692,-87.69,10,80,0.818362,0.5,0.346667,D_1008
41.9015,41.9037,-87.69,-87.688,12,85,0.798619,0.777778,0.19697,D_1009
41.7462,41.7485,-87.602,-87.6,8,100,0.914722,0.833333,0.102041,D_101
41.9015,41.9037,-87.688,-87.686,10,85,0.87149,0.8,0.194444,D_1010
41.9015,41.9037,-87.668,-87.666,8,85,0.799477,0.611111,0.241379,D_1011
41.9015,41.9037,-87.666,-87.664,20,90,0.860699,0.705882,0.217391,D_1012
41.9015,41.9037,-87.646,-87.644,6,90,0.900345,0.875,0.17284,D_1013
41.9015,41.9037,-87.644,-87.642,16,85,0.839993,0.666667,0.220779,D_1014
41.9015,41.9037,-87.634,-87.632,6,85,0.87135,0.869565,0.150943,D_1015
41.9015,41.9037,-87.632,-87.63,20,100,0.789911,0.441176,0.282051,D_1016
41.9015,41.9037,-87.63,-87.628,4,95,0.916245,0.85,0.1,D_1017
41.9037,41.906,-87.76,-87.758,14,90,0.887354,0.714286,0.222222,D_1018
41.9037,41.906,-87.75,-87.748,8,100,0.839108,0.7,0.22807,D_1019
41.7462,41.7485,-87.556,-87.554,18,85,0.834127,0.666667,0.240741,D_102
41.9037,41.906,-87.734,-87.732,12,90,0.738337,0.65,0.363636,D_1020
41.9037,41.906,-87.73,-87.728,4,90,0.860811,0.791667,0.192308,D_1021
41.9037,41.906,-87.728,-87.726,12,95,0.881253,0.846154,0.156863,D_1022
41.9037,41.906,-87.722,-87.72,12,95,0.914001,0.9,0.109375,D_1023
41.9037,41.906,-87.712,-87.71,6,80,0.920218,0.833333,0.125,D_1024
41.9037,41.906,-87.696,-87.694,18,85,0.830887,0.647059,0.285714,D_1025
41.9037,41.906,-87.694,-87.692,4,80,0.848151,0.8,0.142857,D_1026
41.9037,41.906,-87.69,-87.688,4,90,0.776937,0.545455,0.311688,D_1027
41.9037,41.906,-87.67,-87.668,4,95,0.847947,0.833333,0.176471,D_1028
41.9037,41.906,-87.668,-87.666,10,95,0.902032,0.85,0.152542,D_1029
41.7485,41.7507,-87.722,-87.72,20,85,0.864158,0.666667,0.22807,D_103
41.9037,41.906,-87.648,-87.646,4,80,0.910716,0.833333,0.102273,D_1030
41.9037,41.906,-87.644,-87.642,18,100,0.875068,1,0.189474,D_1031
41.9037,41.906,-87.64,-87.638,8,85,0.873526,0.764706,0.131579,D_1032
41.9037,41.906,-87.634,-87.632,14,95,0.84299,0.777778,0.152542,D_1033
